tier,id,name,brand,subBrand,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,bundleEligible,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default
gold,g1,Stella ET Plush,HZ Sleep,,2,Plush,,Hybrid|Cooling|Latex|Wool|Tencel|Hand-Tufted|Zoned Support,Hybrid|Luxury|Cooling|Natural Materials,"Handcrafted luxury from HZ Sleep. The Stella pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience.",yes,yes,plush|cooling|pressure-relief|hybrid|motion-isolation|latex|wool|tencel|hand-tufting|soft|zoned|durability|hypoallergenic|quality|edge-support|memory,Tencel cooling cover with phase-change foam and New Zealand wool for a temperature-neutral sleep surface,Talalay latex and Serene Specialty Foam deliver 30% more pressure relief with responsive contouring,Individually-pocketed zoned coils plus Nano micro-coils minimize partner disturbance,"Individually-pocketed zoned coils with 25% more support through the middle third, plus Deluxe Edge Support foam encasement",Cloud-like plush euro top feel with Talalay latex and New Zealand wool — ideal for side sleepers and pressure-point relief,,,"Hand-tufted construction, Talalay latex, and tempered zoned coils (2015 in Queen) built to last a lifetime","Handcrafted luxury from HZ Sleep, the Stella pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience."
gold,g2,Stella Firm,HZ Sleep,,8,Firm,,Hybrid|Cooling|Latex|Wool|Tencel|Hand-Tufted|Zoned Support,Hybrid|Luxury|Cooling|Natural Materials,"Handcrafted luxury from HZ Sleep. The Stella pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience.",yes,yes,medium|cooling|pressure-relief|hybrid|motion-isolation|latex|wool|tencel|hand-tufting|zoned|durability|hypoallergenic|quality|edge-support|memory,Tencel cooling cover with phase-change foam and New Zealand wool for a temperature-neutral sleep surface,Talalay latex and Serene Specialty Foam deliver 30% more pressure relief with responsive contouring,Individually-pocketed zoned coils plus Nano micro-coils minimize partner disturbance,"Individually-pocketed zoned coils with 25% more support through the middle third, plus Deluxe Edge Support foam encasement",,"Perfect medium feel for most sleepers and all sleep positions, with balanced Talalay latex responsiveness",,"Hand-tufted construction, Talalay latex, and tempered zoned coils (2015 in Queen) built to last a lifetime","Handcrafted luxury from HZ Sleep, the Stella pairs natural Talalay latex, New Zealand wool, and individually-pocketed zoned coils with a hand-tufted Tencel cooling cover for a premium, temperature-neutral sleep experience."
silver,s1,Ember Firm,HZ Sleep,,7,Firm,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, the Ember delivers cooler, deeper, more restorative sleep",yes,yes,firm|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils",,,Extra firm for stomach sleepers and larger builds,Premium foams and premium spring,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, the Ember delivers cooler, deeper, more restorative sleep"
silver,s2,Ember Plush,HZ Sleep,,2,Plush,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, the Ember delivers cooler, deeper, more restorative sleep",yes,yes,plush|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|soft|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils","Welcoming, soft plush feel for side sleepers",,,Premium foams and premium spring,"Infused with natural copper to draw heat away, soothe pressure points, and help reduce inflammation, the Ember delivers cooler, deeper, more restorative sleep"
silver,s3,Jenna Plush,HZ Sleep,,2,Plush,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|Back Supporter,"Experience 90+ years of back-support innovation — the Jenna Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep",yes,yes,plush|cooling|serene-foam|gel-memory-foam|motion-isolation|back-supporter-technology|quality|comfort|hybrid|soft|zoned|durability|memory,Maximum cooling phase-change cover,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam for exceptional pressure relief,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,True cloud-like plush feel for side sleepers,,,,"Experience 90+ years of back-support innovation — the Jenna Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep"
silver,s4,Jenna Firm,HZ Sleep,,8,Firm,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|Back Supporter,"Experience 90+ years of back-support innovation — the Jenna Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep",yes,yes,firm|cooling|serene-foam|gel-memory-foam|motion-isolation|back-supporter-technology|quality|comfort|foam-encasement|hybrid|zoned|durability|memory,Maximum cooling phase-change cover,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam for pressure relief,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,,Extra firm for stomach sleepers and larger builds,,"Experience 90+ years of back-support innovation — the Jenna Hybrid pairs zoned coil technology with premium hybrid comfort for proper alignment, pressure relief, and deeper, more restorative sleep"
silver,s5,Malia,HZ Sleep,,5,Medium,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,"90+ years of back-support innovation — the Malia pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep",yes,yes,medium|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,Perfect medium feel for most sleepers,,,"90+ years of back-support innovation — the Malia pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep"
silver,s6,Malia Firm,HZ Sleep,,9,Firm,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,"90+ years of back-support innovation — the Malia pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep",yes,yes,firm|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,,Extra firm for stomach sleepers and larger builds,,"90+ years of back-support innovation — the Malia pairs zoned coils with premium hybrid comfort for alignment, pressure relief, and deeper sleep"
silver,s7,PRObreeze 2.0 Medium,Tempurpedic,,5,Medium,,,All-Foam|Cooling|Premium|TEMPUR-APR,Premium cooling mattress — 3-level system sleeps up to 10° cooler,no,yes,medium|cooling|pressure-relief|memory|motion-isolation|comfort|quality,PureCool+ phase-change cover and 3-level cooling system — sleeps up to 10° cooler,TEMPUR-APR material deeply contours to relieve hip and shoulder pressure,All-foam TEMPUR construction absorbs partner motion completely,,,Balanced medium feel ideal for back and combination sleepers,,Tempurpedic's proprietary TEMPUR-APR material and 10-year warranty,Premium all-foam cooling Tempurpedic in a balanced medium feel
silver,s8,PROAdapt 2.0 Medium Hybrid,Tempurpedic,,5,Medium,,Hybrid|Cooling|Cashmere|Camelhair|Microcoils|Latex|Support,Hybrid|Cooling|Premium|TEMPUR,Hybrid Tempurpedic — TEMPUR material over 1160 pocketed coils,no,yes,medium|cooling|hybrid|pressure-relief|motion-isolation|support|memory|durability|quality,SmartClimate dual cover wicks heat away from the body,Two layers of pressure-relieving TEMPUR material contour to your body,Pocketed coils individually isolate motion while TEMPUR absorbs shifts,1160-coil pocketed spring unit delivers targeted support where you need it,,Hybrid construction pairs coil responsiveness with pressure-relieving feel,,Pocketed coil durability plus Tempurpedic 10-year warranty,Hybrid luxury from Tempurpedic — TEMPUR material over a premium coil system
